Analysis	Task or evaluation	Model / representation	Evaluation weighting	Matched-null design	Naive or path-random BA	Independent or scene-safe BA	Delta (percentage points)	Comparison interval low (pp)	Comparison interval high (pp)	Interval definition	Empirical p	Interpretation
Repeated five-fold cross-validation	Cacao three-class	Frozen EfficientNet-B0 plus multinomial logistic regression	Physical-path weighted		0.853167877869905	0.7433310817136192	-10.98367961562856	-11.20150409438295	-10.76003389593776	Paired across split seeds; 95% confidence interval		Increasing evaluation independence reduced apparent performance.
Repeated five-fold cross-validation	CocoaMonilia four-stage	Frozen EfficientNet-B0 plus multinomial logistic regression	Physical-path weighted		0.8219384840449713	0.7487732214961801	-7.31652625487909	-7.779112529864129	-6.827264186752751	Paired across split seeds; 95% confidence interval		Increasing evaluation independence reduced apparent performance.
Matched-removal fixed-test analysis	CocoaMonilia public test	Frozen EfficientNet-B0 plus multinomial logistic regression	Physical-path weighted	Source-, class-, and block-matched	0.830173593827775	0.7953292216276755	-3.4844372200099496	-1.79410718174465	2.83960459183674	Matched clean-removal null; 2.5th-97.5th percentile	0.0019960079840319	Observed loss exceeded the tested matched clean-removal null; this is a conditional comparison.
Matched-removal fixed-test analysis	Roboflow source holdout	Frozen EfficientNet-B0 plus multinomial logistic regression	Physical-path weighted	Class- and block-matched	0.5770439960455561	0.5638772408039179	-1.31667552416382	-0.71419471064556	1.31422056882274	Matched clean-removal null; 2.5th-97.5th percentile	0.0033222591362126	Observed loss exceeded the tested matched clean-removal null; this is a conditional comparison.
Matched-removal fixed-test analysis	Spanish YOLOv4 source holdout	Frozen EfficientNet-B0 plus multinomial logistic regression	Physical-path weighted	Source-, class-, and block-matched	0.4380952380952381	0.396984126984127	-4.11111111111111	-1.25396825396825	1.17420634920634	Matched clean-removal null; 2.5th-97.5th percentile	0.0033222591362126	Observed loss exceeded the tested matched clean-removal null; this is a conditional comparison.
End-to-end fine-tuning sensitivity	Cacao three-class	EfficientNet-B0	Physical-path weighted		0.9093998876892234	0.8567537859472006	-5.26461017420229	-5.7138361715991595	-4.81538417680542	Paired across split seeds; 95% confidence interval		The evaluation-independence effect persisted under end-to-end training.
End-to-end fine-tuning sensitivity	Cacao three-class	ResNet-18	Physical-path weighted		0.9137305009393243	0.8587904857272864	-5.49400152120379	-5.92422680346804	-5.063776238939529	Paired across split seeds; 95% confidence interval		The evaluation-independence effect persisted under end-to-end training.
End-to-end fine-tuning sensitivity	CocoaMonilia four-stage	EfficientNet-B0	Physical-path weighted		0.8433645274063206	0.7956515926246611	-4.771293478165941	-5.33438001235286	-4.20820694397901	Paired across split seeds; 95% confidence interval		The evaluation-independence effect persisted under end-to-end training.
End-to-end fine-tuning sensitivity	CocoaMonilia four-stage	ResNet-18	Physical-path weighted		0.8783299988030528	0.8230129430094311	-5.531705579362161	-6.39928189587596	-4.66412926284836	Paired across split seeds; 95% confidence interval		The evaluation-independence effect persisted under end-to-end training.
