Public collection	Archive file	Photograph paths	Exact components	Strict image lineages	Conservative split blocks	Harmonized labels	Cacao three-class eligible paths	CocoaMonilia stage eligible paths
Cacao Diseases	Cacao Diseases.zip	4390	4390	4385	4003	Black pod | Healthy | Pod borer damage	4287	0
Roboflow mixed cacao/coffee	coffee and cocoa.v2i.folder.zip	3806	3149	1864	1738	Black pod | Healthy coffee | Frosty pod | Healthy | Mirid damage	1991	0
Black pod-pod borer	Black Pod rot and pod borer on cocoa pod three classes.zip	2439	2439	2437	2260	Black pod | Healthy | Pod borer damage	2337	0
CocoaMonilia	CocoaMoniliaDataSet.zip	1950	1911	1909	1441	Frosty pod | Healthy	1914	1878
Ghana balanced	Cocoa_Disease_Gh.rar	1704	1589	1589	1526	Black pod | Frosty pod | Healthy	1702	0
Spanish YOLOv4	enfermedades-cacao-yolov4.rar	312	312	310	278	Black pod | Frosty pod | Healthy	310	0
